path,#multi,nodes,type
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\17545_00178_WYP_DYJ_stamp_2021_01_27_14_14.ano.eswc,3,"[12021, 14040, 28094]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\17786_00001_LJ_SYY_stamp_2021_01_27_15_04.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\17786_00017_YLL_LJ_YLL_LJ_stamp_2021_01_27_14_31.ano.eswc,2,"[10879, 10910]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\17786_00022_SYY_WYP_SYY_WYP_stamp_2021_01_27_13_58.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\17786_00024_YLL_LJ_YLL_LJ_stamp_2021_01_27_14_31.ano.eswc,1,[6473],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18454_00008_LJ_SYY_stamp_2021_01_27_14_10.ano.eswc,4,"[5764, 10341, 10425, 13381]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18454_00080_SYY_WYP_SYY_WYP_stamp_2021_01_27_14_00.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18454_00086_YLL_LJ_YLL_LJ_stamp_2021_01_27_15_22.ano.eswc,1,[7479],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18454_00090_YLL_LJ_YLL_LJ_stamp_2021_01_27_14_28.ano.eswc,1,[14682],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18454_00092_YLL_LJ_YLL_LJ_YLL_LJ_stamp_2021_01_27_14_27.ano.eswc,2,"[9394, 9722]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18454_01072_WYP_DYJ_stamp_2021_01_28_11_05.ano.eswc,9,"[3745, 4809, 8878, 12394, 15634, 19361, 24042, 33878, 49681]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18454_01075_LJ_SYY_stamp_2021_01_27_14_16.ano.eswc,9,"[3065, 6036, 10421, 13409, 17176, 23045, 23329, 26025, 27297]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18454_01079_WYP_DYJ_stamp_2021_01_27_14_34.ano.eswc,6,"[1366, 3267, 13868, 16020, 19256, 20449]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18454_01094_LJ_SYY_LJ_SYY_stamp_2021_01_27_14_19.ano.eswc,9,"[1041, 11291, 17778, 17896, 17930, 19658, 22066, 26400, 33282]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18454_01099_LJ_SYY_stamp_2021_01_27_14_28.ano.eswc,9,"[11681, 12339, 13560, 13944, 14925, 15967, 17292, 24394, 26632]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18455_00011_SYY_WYP_SYY_WYP_stamp_2021_01_27_14_02.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18457_00109_YLL_LJ_YLL_LJ_stamp_2021_01_27_15_15.ano.eswc,22,"[3173, 14612, 23694, 23698, 25779, 27421, 27549, 28574, 30165, 30239, 31127, 32639, 36672, 38122, 39475, 40593, 41129, 41230, 42010, 45776, 49280, 51526]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18457_00241_WYP_DYJ_stamp_2021_01_27_15_01.ano.eswc,2,"[28612, 32903]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18458_00048_LJ_SYY_LJ_SYY_stamp_2021_01_27_14_00.ano.eswc,5,"[6254, 6257, 16340, 16454, 18005]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18458_00492_SYY_WYP_SYY_WYP_stamp_2021_01_27_14_04.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18458_00550_LJ_SYY_LJ_SYY_stamp_2021_01_27_14_07.ano.eswc,13,"[490, 672, 815, 5205, 5771, 6306, 6347, 7534, 8433, 12726, 12905, 14654, 20047]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18462_00012_SYY_WYP_SYY_WYP_stamp_2021_01_27_14_13.ano.eswc,11,"[6599, 6953, 7221, 7282, 7801, 8244, 8874, 12763, 13107, 16703, 21801]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18463_00013_SYY_WYP_SYY_WYP_stamp_2021_01_27_14_16.ano.eswc,11,"[1526, 2305, 4335, 5271, 6120, 6127, 6539, 9355, 15471, 25435, 26378]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18463_00014_SYY_WYP_SYY_WYP_stamp_2021_01_27_14_19.ano.eswc,6,"[691, 5125, 5624, 7072, 9622, 11093]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18464_00102_WYP_DYJ_stamp_2021_01_27_15_30.ano.eswc,12,"[530, 2994, 3373, 9948, 23435, 29951, 35393, 44988, 54144, 58306, 67162, 80052]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18465_00058_LJ_SYY_LJ_SYY_stamp_2021_01_27_15_14.ano.eswc,7,"[7269, 12108, 14897, 22321, 27021, 27954, 41679]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18465_00059_LJ_SYY_LJ_SYY_stamp_2021_01_27_15_08.ano.eswc,5,"[10711, 11066, 21477, 23880, 27837]",R165
