path,#multi,nodes,type
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\17545_00178_WYP_DYJ_stamp_2021_01_27_14_14.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\17786_00001_LJ_SYY_stamp_2021_01_27_15_04.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\17786_00017_YLL_LJ_YLL_LJ_stamp_2021_01_27_14_31.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\17786_00022_SYY_WYP_SYY_WYP_stamp_2021_01_27_13_58.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\17786_00024_YLL_LJ_YLL_LJ_stamp_2021_01_27_14_31.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18454_00008_LJ_SYY_stamp_2021_01_27_14_10.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18454_00080_SYY_WYP_SYY_WYP_stamp_2021_01_27_14_00.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18454_00086_YLL_LJ_YLL_LJ_stamp_2021_01_27_15_22.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18454_00090_YLL_LJ_YLL_LJ_stamp_2021_01_27_14_28.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18454_00092_YLL_LJ_YLL_LJ_YLL_LJ_stamp_2021_01_27_14_27.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18454_01072_WYP_DYJ_stamp_2021_01_28_11_05.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18454_01075_LJ_SYY_stamp_2021_01_27_14_16.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18454_01079_WYP_DYJ_stamp_2021_01_27_14_34.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18454_01094_LJ_SYY_LJ_SYY_stamp_2021_01_27_14_19.ano.eswc,1,[33282],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18454_01099_LJ_SYY_stamp_2021_01_27_14_28.ano.eswc,1,[14925],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18455_00011_SYY_WYP_SYY_WYP_stamp_2021_01_27_14_02.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18457_00109_YLL_LJ_YLL_LJ_stamp_2021_01_27_15_15.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18457_00241_WYP_DYJ_stamp_2021_01_27_15_01.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18458_00048_LJ_SYY_LJ_SYY_stamp_2021_01_27_14_00.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18458_00492_SYY_WYP_SYY_WYP_stamp_2021_01_27_14_04.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18458_00550_LJ_SYY_LJ_SYY_stamp_2021_01_27_14_07.ano.eswc,0,[],R165
