##n type x y z r parent
1 1 5898.375 8945.375 9985.325 11.0 -1
2 3 5903.7 8944.125 9982.325 7.8 1
3 3 5906.775 8943.9 9978.601 1.0 2
4 3 5909.05 8943.575 9974.975 1.5 3
5 3 5907.65 8939.975 9973.05 1.1 4
6 3 5907.1 8935.725 9971.325 1.0 5
7 3 5905.625 8931.95 9969.35 1.8 6
8 3 5903.55 8928.775 9966.925 2.0 7
9 3 5900.55 8925.375 9965.274 2.0 8
10 3 5898.675 8921.05 9964.524 1.1 9
11 3 5896.5 8916.7 9964.2 1.4 10
12 3 5893.6 8912.774 9963.225 3.0 11
13 3 5891.775 8908.75 9961.699 2.0 12
14 3 5891.65 8907.801 9961.55 2.0 13
15 3 5891.15 8904.075 9960.125 1.2 14
16 3 5889.1 8899.7 9959.7 2.0 15
17 3 5886.125 8896.05 9958.325 3.0 16
18 3 5884.325 8892.176 9956.601 3.0 17
19 3 5882.55 8888.275 9954.875 2.0 18
20 3 5882.475 8887.75 9954.475 3.0 19
21 3 5880.9 8884.5 9951.95 3.0 20
22 3 5879.775 8880.0 9951.325 2.0 21
23 3 5878.325 8875.675 9950.351 2.0 22
24 3 5877.85 8871.125 9949.35 2.0 23
25 3 5876.775 8866.925 9947.8 2.0 24
26 3 5875.475 8862.875 9946.1 2.0 25
27 3 5877.55 8858.85 9944.25 2.0 26
28 3 5876.975 8854.699 9942.825 1.0 27
29 3 5878.0 8851.625 9941.2 3.0 28
30 3 5876.225 8847.976 9939.175 2.0 29
31 3 5874.85 8843.825 9937.899 2.0 30
32 3 5875.05 8838.9 9937.551 1.0 31
33 3 5874.375 8836.25 9935.649 1.0 32
34 3 5872.55 8833.425 9933.0 1.0 33
35 3 5871.175 8829.05 9932.725 1.0 34
36 3 5867.075 8827.075 9931.601 1.0 35
37 3 5875.675 8835.45 9939.775 1.7 32
38 3 5876.325 8832.274 9942.85 1.0 37
39 3 5875.85 8830.7 9946.425 1.0 38
40 3 5875.55 8832.351 9950.075 1.8 39
41 3 5873.5 8834.8 9953.575 1.5 40
42 3 5870.875 8837.6 9956.95 1.3 41
43 3 5868.125 8840.75 9960.15 2.0 42
44 3 5864.9 8845.0 9962.325 1.9 43
45 3 5855.45 8846.3 9963.85 1.9 44
46 3 5847.3 8844.575 9965.274 2.0 45
47 3 5839.775 8842.4 9964.675 1.7 46
48 3 5832.025 8840.4 9963.925 1.0 47
49 3 5825.8 8837.5 9963.55 2.0 48
50 3 5890.725 8908.0 9961.95 2.0 14
51 3 5890.0 8905.05 9964.75 1.0 50
52 3 5889.425 8904.351 9965.3 1.0 51
53 3 5881.375 8903.575 9966.8 1.0 52
54 3 5879.4 8899.125 9966.774 1.0 53
55 3 5878.9 8895.125 9964.75 1.0 54
56 3 5876.15 8891.15 9963.774 1.0 55
57 3 5875.125 8886.6 9963.05 1.0 56
58 3 5874.45 8881.925 9962.851 1.0 57
59 3 5873.8 8877.275 9962.024 1.0 58
60 3 5873.1 8872.5 9961.675 1.0 59
61 3 5872.575 8868.25 9960.325 1.0 60
62 3 5890.125 8904.95 9964.85 1.0 51
63 3 5890.675 8901.05 9967.375 1.0 62
64 3 5890.775 8896.425 9968.775 1.0 63
65 3 5890.025 8891.649 9969.325 1.0 64
66 3 5890.375 8892.25 9966.45 1.0 65
67 3 5899.7 8945.825 9985.05 9.0 1
68 3 5901.8 8949.55 9983.025 2.3 67
69 3 5902.425 8954.1 9981.75 1.0 68
70 3 5901.3 8958.95 9980.4 1.0 69
71 3 5901.6 8963.625 9979.475 1.0 70
72 3 5900.525 8968.375 9980.6 1.0 71
73 3 5895.45 8972.925 9982.775 1.0 72
74 3 5898.9 8945.25 9985.45 10.2 1
75 3 5900.175 8941.774 9988.1 2.6 74
76 3 5898.25 8940.95 9991.875 1.0 75
77 3 5897.65 8940.976 9992.275 1.0 76
78 3 5897.125 8940.825 9992.75 1.0 77
79 3 5892.45 8939.025 9995.75 2.0 78
80 3 5887.25 8935.9 9995.25 1.9 79
81 3 5881.525 8933.175 9994.05 1.7 80
82 3 5876.85 8929.875 9993.075 1.0 81
83 3 5871.475 8926.75 9992.4 1.9 82
84 3 5865.3 8923.8 9992.199 1.0 83
85 3 5860.95 8920.55 9993.75 1.0 84
86 3 5856.7 8916.975 9994.7 1.0 85
87 3 5853.225 8912.976 9995.05 1.0 86
88 3 5848.55 8909.475 9995.851 1.0 87
89 3 5846.6 8905.35 9997.149 1.0 88
90 3 5852.0 8902.3 9999.675 1.0 89
91 3 5850.7 8897.75 10000.25 1.0 90
92 3 5851.2 8893.1 9998.976 1.0 91
93 3 5898.4 8945.726 9985.625 10.2 1
94 3 5887.625 8948.0 9985.425 2.0 93
95 3 5879.925 8947.375 9983.351 3.0 94
96 3 5875.575 8944.101 9982.45 2.0 95
97 3 5872.05 8940.075 9982.476 2.0 96
98 3 5869.15 8936.025 9983.5 1.0 97
99 3 5865.975 8932.25 9985.075 1.0 98
100 3 5861.725 8928.625 9985.575 1.8 99
101 3 5852.65 8927.4 9985.575 2.0 100
102 3 5845.25 8925.775 9985.425 3.0 101
103 3 5836.875 8924.9 9986.1 1.0 102
104 3 5834.925 8921.1 9987.525 1.0 103
105 3 5832.525 8918.125 9990.0 1.0 104
106 3 5832.3 8914.275 9992.225 1.0 105
107 3 5843.825 8925.325 9983.475 1.2 102
108 3 5842.875 8926.0 9979.825 1.0 107
109 3 5845.8 8927.05 9976.675 1.0 108
